,LV,Myocardium,RV,whole,index
101,0.28279096205769505,0.31555249828028265,0.7223652520554771,0.4820215646226191,101
102,0.46603563474387527,0.2692211993033093,0.34712411705348134,0.5293432856262412,102
103,0.1279175507729615,0.3690485467154991,0.7174610195731504,0.5274285312917047,103
104,0.0,0.055409707870189354,0.0986060918946825,0.1708882653649537,104
105,0.0,0.14678780849281525,0.1681333950903196,0.12011640146120983,105
106,0.3109855804965066,0.23603474380428718,0.5534167468719923,0.41278453229426126,106
107,0.35502958579881655,0.47561609649578873,0.6879827000308928,0.7273204673756072,107
108,0.3305785123966942,0.16279789538842462,0.2857142857142857,0.25212857237146064,108
109,0.2401633764465623,0.5542834583497829,0.737635594778452,0.5543835549232203,109
110,0.12465731333655862,0.2556355666875391,0.26219609089464485,0.36522512789552286,110
111,0.3310222746717805,0.8062346535710473,0.7052854122621565,0.7954189400896764,111
112,0.12217626471524022,0.5182711927286218,0.6345060412224591,0.5730980275841614,112
113,0.6519273064012039,0.4782307025151778,0.7307381465517241,0.6937201930490905,113
114,0.0,0.06448706034749796,0.08886373284279044,0.17809516869489178,114
115,0.7436123348017621,0.45191113564233476,0.6809260191243081,0.6806802981081598,115
116,0.15985868845219695,0.2760385310054184,0.2927256792287467,0.41773984041566153,116
117,0.0587390263367917,0.3551465245822233,0.7176327399969572,0.5968948535769332,117
118,0.3243587025651897,0.12645949344350638,0.28732648685249973,0.3181450307542894,118
119,0.7463417348244589,0.5537708927843457,0.728000942396042,0.7783200351176182,119
120,0.0,0.006890960680989056,0.0,0.022242192765670635,120
121,0.556207571050512,0.5885225885225885,0.7868383404864091,0.6926098474467891,121
122,0.36126539483216613,0.20238761425107257,0.5108974969068241,0.5235317303902247,122
123,0.1049042748492001,0.5110987791342952,0.3458366586858207,0.6682924626292733,123
124,0.563265306122449,0.4522174368525201,0.6483113069016153,0.6310103531530057,124
125,0.36012100486650006,0.1949255448328753,0.39205260948649784,0.3620094088232391,125
126,0.4937476026083621,0.32106092924047114,0.43820473137298255,0.6001095423563778,126
127,0.16021677204196486,0.13649639387256363,0.32235121849178955,0.2310770666077435,127
128,0.5042211554378414,0.2782713706547054,0.372804163955758,0.5373845695561513,128
129,0.2198300283286119,0.15394502669566937,0.28972665719301177,0.2907801418439716,129
130,0.624990170637729,0.3589232303090728,0.5685218432076601,0.6270118143707308,130
131,0.6776386404293381,0.38514816137093894,0.7386118368737931,0.6727372205721432,131
132,0.7821352365536016,0.5145135566188198,0.8102775866024318,0.804949296832617,132
133,0.667211607234086,0.4874720763146773,0.808052017457914,0.7558396852716991,133
134,0.06571552096843926,0.4937095742412396,0.36455358842566155,0.5525163419432633,134
135,0.591915019179699,0.6034027264081159,0.8436655169199216,0.7833728863838624,135
136,0.6473081148956208,0.3514483679772936,0.6312674667105047,0.5915585266745313,136
137,0.2742637644046095,0.17898931123901082,0.41454169538249486,0.29447330324448606,137
138,0.0,0.18707268026429186,0.15271244904358733,0.21959030757145448,138
139,0.30368142099985673,0.2100031065548307,0.47438692098092644,0.35698050645773727,139
140,0.20059207475835503,0.1373082363181373,0.2292054624456859,0.2115433254084678,140
141,0.21651722510618215,0.12794206397103197,0.13691931540342298,0.28916165374317604,141
142,0.03875968992248062,0.15801316776398033,0.061385317295727916,0.1550328227571116,142
143,0.4837758112094395,0.4792146406496182,0.7877456647398844,0.6797052669880833,143
144,0.1419994779430958,0.2755616297941403,0.3856850715746421,0.40845897787350693,144
145,0.2877005347593583,0.20521794463888005,0.45760767546146625,0.4365082429249836,145
146,0.4399765189316114,0.3455384809966483,0.3570809499046628,0.5304268206789688,146
147,0.42587808921617765,0.4854206233940342,0.4377191843096506,0.548022818114789,147
148,0.008105041335710812,0.46923751095530236,0.6388293175223918,0.49486395357954993,148
149,0.4350382932166302,0.6133916029342906,0.7808019945979638,0.7016739499009003,149
150,0.16721311475409836,0.22400298173686173,0.24759566196030283,0.36524705102089156,150
