,LV,Myocardium,RV,whole,index
101,0.0,0.0,0.0,0.0,101
102,0.0,0.06328285382761596,0.5844059405940594,0.19784555054215586,102
103,0.03201164059658058,0.001620644517858256,0.0,0.021236869485896724,103
104,0.0,0.08606092730833223,0.5550098231827112,0.2214804046495211,104
105,0.8257415786827551,0.5834465579710145,0.8090627420604183,0.8324327173998999,105
106,0.36947689182326054,0.22609508547008547,0.8975196488721037,0.6160985022512175,106
107,0.3690116529995684,0.04838709677419355,0.7983168607495841,0.2063027738013734,107
108,0.7219961068837374,0.4136675767353355,0.8646378054007715,0.7041004645637555,108
109,0.5983126550868486,0.6277442702050663,0.8241509433962264,0.8237337192474674,109
110,0.0,0.0635752688172043,0.0,0.2020328496722398,110
111,0.48811222063718496,0.740365350618739,0.844332642793726,0.8047347283872331,111
112,0.7778072384992708,0.5128274616079495,0.8686176836861769,0.8233919784771142,112
113,0.7980852915578764,0.5669228199131306,0.9200306312219669,0.8647234854732675,113
114,0.10946657395450482,0.31784573065428484,0.7896920725049137,0.4355382941508628,114
115,0.819738344016156,0.5548971016054305,0.8706598257964443,0.8386102369789994,115
116,0.0,0.0,0.0,0.0,116
117,0.6589797344514325,0.5360924743351386,0.9486826847881779,0.8422091978176387,117
118,0.00816806839026754,0.07936795564092343,0.0,0.15672502956135226,118
119,0.0,0.03593955401184317,0.44394838236193507,0.18811295014028676,119
120,0.0,0.0,0.0,0.0,120
121,0.5688193085453359,0.2086189238162767,0.9031703385276733,0.5162354036544206,121
122,0.0,0.06362931521610576,0.6631302414873194,0.23171840498766075,122
123,0.0,0.26773479498260777,0.4827735644637053,0.7862574930661179,123
124,0.22255564878337694,0.0019408054342552159,0.0,0.19486804858003834,124
125,0.0,0.08034372510060615,0.6364994191514078,0.30391700781540754,125
126,0.0,0.23497022856777003,0.4578019296883664,0.8372195336559612,126
127,0.6419240745107286,0.4242146646818581,0.8426918131161595,0.7548442770848043,127
128,0.7397953317235828,0.441307371349096,0.8668333333333333,0.7857000313595803,128
129,0.0,0.0,0.0,0.0,129
130,0.802057757511984,0.5481532619951675,0.904721343392553,0.8393749651622973,130
131,0.7564778463264161,0.5620026045434814,0.8926227878305826,0.8693014989955185,131
132,0.7064950980392157,0.42479250991455086,0.9177861797120103,0.7850329448354362,132
133,0.0,0.14858697711264574,0.7781016578611769,0.4404737273336699,133
134,0.0,0.03714168625843884,0.364377923292797,0.14751695394179146,134
135,0.3444536131085701,0.4493971905762637,0.8925689307330195,0.6260650988411725,135
136,0.0,0.2312931789432714,0.6953158240823115,0.6678098801357999,136
137,0.0,0.10924411772060111,0.0,0.39905320350745066,137
138,0.4842594092553594,0.431505886981201,0.803201506591337,0.5927757006457992,138
139,0.0,0.10565401612829742,0.5863525227828407,0.4163655892979201,139
140,0.00015578750584203146,0.05083762493130051,0.37990507072700785,0.30155844334717546,140
141,0.651685393258427,0.4458798726057507,0.7330739299610894,0.8393366288191926,141
142,0.584156933213537,0.47969130787977254,0.6818069612441372,0.7409881313828319,142
143,0.6729249784870531,0.47529452379924914,0.901954343898834,0.8027258257063271,143
144,0.1725794908496064,0.5087412587412588,0.8375688019674435,0.6019489247311828,144
145,0.6763793336031296,0.4490934449093445,0.7781060925847756,0.7896683070592487,145
146,0.847741044718877,0.6307411706184712,0.894903168300786,0.8754273504273504,146
147,0.38462003141234746,0.3661743028188081,0.7542847725774555,0.5283302541886985,147
148,0.0,0.11213741126982736,0.7295759527643586,0.3350951944339572,148
149,0.6974977289619292,0.5163833456516383,0.8774307601649971,0.8273180216308178,149
150,0.0,0.21150089187123078,0.7251941705209879,0.7659574468085106,150
