acdc_name,2d:dil0,3d:dil0,2d:dil1,3d:dil1,2d:dil2,3d:dil2,2d:dil3,3d:dil3
patient131_frame01,1,0,1,0,1,0,1,1
patient132_frame01,1,0,1,0,1,0,0,1
patient133_frame01,1,0,1,1,1,1,1,1
patient134_frame01,0,0,0,0,0,1,0,1
patient135_frame01,1,0,1,0,1,1,1,1
patient136_frame01,1,0,1,0,1,1,1,1
patient137_frame01,0,0,0,0,0,0,0,1
patient138_frame01,1,0,1,1,1,1,1,1
patient139_frame01,1,0,1,0,1,0,1,1
patient140_frame01,0,0,0,0,0,0,0,0
patient141_frame01,0,0,0,0,0,0,0,1
patient142_frame01,1,0,1,0,1,0,1,0
patient143_frame01,1,0,1,0,1,1,1,0
patient144_frame01,1,0,1,0,1,0,1,1
patient145_frame01,0,0,0,0,0,1,0,1
patient146_frame01,1,0,1,1,0,1,0,1
patient147_frame01,0,0,0,1,0,1,0,1
patient148_frame01,0,0,0,0,0,1,0,0
patient149_frame01,0,0,0,0,0,1,0,0
patient150_frame01,1,0,1,1,1,1,1,1
patient001_frame12,0,0,0,1,0,1,0,1
patient002_frame12,0,0,0,1,0,1,0,1
patient003_frame15,0,0,1,1,1,1,1,1
patient004_frame15,0,0,0,0,0,0,0,1
patient005_frame13,0,0,0,1,0,1,0,1
patient006_frame16,0,0,0,0,0,0,0,1
patient007_frame07,1,0,1,1,1,1,1,1
patient008_frame13,0,0,0,0,0,1,0,1
patient009_frame13,0,0,0,1,0,1,0,1
patient010_frame13,1,0,1,1,1,0,1,1
patient011_frame08,1,0,1,1,1,1,1,1
patient012_frame13,0,0,0,0,0,0,0,1
patient013_frame14,0,0,0,1,0,1,0,1
patient014_frame13,1,0,1,0,1,0,1,0
patient015_frame10,0,0,0,1,0,1,0,1
patient016_frame12,1,0,1,0,1,0,1,1
patient017_frame09,1,0,1,0,1,0,1,1
patient018_frame10,1,0,1,1,1,0,1,1
patient019_frame11,0,0,0,0,0,0,0,1
patient020_frame11,1,0,1,0,1,1,1,1
patient021_frame13,0,0,0,1,0,1,0,1
patient022_frame11,0,0,0,0,0,1,0,1
patient023_frame09,0,1,0,1,0,1,0,1
patient024_frame09,0,1,0,1,0,1,0,1
patient025_frame09,0,0,0,0,0,1,0,1
patient026_frame12,0,0,0,1,0,1,0,1
patient027_frame11,0,0,0,1,0,1,0,1
patient028_frame09,0,1,0,1,0,1,0,1
patient029_frame12,0,0,0,0,0,0,0,1
patient030_frame12,0,0,0,1,0,1,0,1
patient031_frame10,0,0,0,1,0,1,0,1
patient032_frame12,0,0,0,1,0,1,0,1
patient033_frame14,0,0,0,0,0,1,0,1
patient034_frame16,0,1,0,1,0,1,0,1
patient035_frame11,0,0,0,1,0,0,0,1
patient036_frame12,0,0,0,0,0,1,0,1
patient037_frame12,0,1,0,1,0,1,0,1
patient038_frame11,0,0,0,1,0,1,0,1
patient039_frame10,0,1,0,1,0,1,0,1
patient040_frame13,0,0,0,1,0,1,0,1
patient041_frame11,0,0,0,1,0,1,0,1
patient042_frame16,0,0,1,0,1,1,1,0
patient043_frame07,0,0,0,0,0,1,0,1
patient044_frame11,0,0,0,1,0,1,0,1
patient045_frame13,0,0,1,0,1,0,1,1
patient046_frame10,0,0,0,1,0,1,0,1
patient047_frame09,0,0,0,0,0,0,0,0
patient048_frame08,0,0,0,1,0,1,0,0
patient049_frame11,0,0,0,1,0,1,0,1
patient050_frame12,0,0,0,0,0,0,0,0
patient051_frame11,0,0,0,0,0,0,0,1
patient052_frame09,0,0,1,0,1,0,1,0
patient053_frame12,0,0,0,0,0,1,0,1
patient054_frame12,0,0,0,0,0,0,0,1
patient055_frame10,0,0,0,0,0,0,0,0
patient056_frame12,0,0,0,0,0,1,0,1
patient057_frame09,0,0,0,1,0,1,0,1
patient058_frame14,0,0,0,0,0,1,0,0
patient059_frame09,0,0,0,0,0,0,0,0
patient060_frame14,0,0,0,1,0,1,0,1
