brats_name,ED,TC,ET,WT
BraTS-GLI-01319-000_AUCseg_cc.nii.gz,0.5522,0,0.5567,0.846
BraTS-GLI-01319-000_AUCseg_t2.nii.gz,0.6965,0.6591,0.5567,0.846
BraTS-GLI-01376-000_AUCseg_cc.nii.gz,0.6821,0,0.5199,0.8881
BraTS-GLI-01376-000_AUCseg_t2.nii.gz,0.4454,0.4285,0.5199,0.8881
BraTS-GLI-01195-000_AUCseg_cc.nii.gz,0.7942,0,0.5521,0.8406
BraTS-GLI-01195-000_AUCseg_t2.nii.gz,0.5731,0.2526,0.5521,0.8406
BraTS-GLI-00146-000_AUCseg_cc.nii.gz,0.1832,0.0099,0.0323,0.5824
BraTS-GLI-00146-000_AUCseg_t2.nii.gz,0.0995,0.0973,0.0323,0.5822
BraTS-GLI-01416-000_AUCseg_cc.nii.gz,0.6408,0.0135,0.7899,0.9104
BraTS-GLI-01416-000_AUCseg_t2.nii.gz,0.6882,0.5141,0.7899,0.9102
BraTS-GLI-00483-000_AUCseg_cc.nii.gz,0.7661,0.1238,0.8372,0.8523
BraTS-GLI-00483-000_AUCseg_t2.nii.gz,0.5131,0.0999,0.8372,0.8517
BraTS-GLI-00731-001_AUCseg_cc.nii.gz,0.0887,0,0.0026,0.0805
BraTS-GLI-00731-001_AUCseg_t2.nii.gz,0.0736,0,0.0026,0.0806
BraTS-GLI-00304-000_AUCseg_cc.nii.gz,0.8227,0.0239,0.7989,0.916
BraTS-GLI-00304-000_AUCseg_t2.nii.gz,0.6663,0.3043,0.7989,0.9159
BraTS-GLI-00441-000_AUCseg_cc.nii.gz,0.7968,0.5957,0.9137,0.9265
BraTS-GLI-00441-000_AUCseg_t2.nii.gz,0.8186,0.8236,0.9137,0.9265
BraTS-GLI-01042-000_AUCseg_cc.nii.gz,0.81,0,0.834,0.8862
BraTS-GLI-01042-000_AUCseg_t2.nii.gz,0.4361,0.3077,0.834,0.8862
BraTS-GLI-01507-000_AUCseg_cc.nii.gz,0.0157,0.0005,0.0036,0.1929
BraTS-GLI-01507-000_AUCseg_t2.nii.gz,0.0273,0.4129,0.0036,0.1942
BraTS-GLI-00294-000_AUCseg_cc.nii.gz,0.886,0,0.5693,0.9374
BraTS-GLI-00294-000_AUCseg_t2.nii.gz,0.5317,0.1679,0.5693,0.9374
BraTS-GLI-00618-000_AUCseg_cc.nii.gz,0.6801,0.928,0.8366,0.8355
BraTS-GLI-00618-000_AUCseg_t2.nii.gz,0.3504,0.4328,0.8366,0.8355
BraTS-GLI-00453-000_AUCseg_cc.nii.gz,0.6255,0.8665,0.6663,0.9361
BraTS-GLI-00453-000_AUCseg_t2.nii.gz,0.5514,0.5777,0.6663,0.936
BraTS-GLI-01383-000_AUCseg_cc.nii.gz,0.0509,0.0127,0.3895,0.1772
BraTS-GLI-01383-000_AUCseg_t2.nii.gz,0.013,0.2016,0.3895,0.1772
BraTS-GLI-01010-000_AUCseg_cc.nii.gz,0.6739,0.2066,0.922,0.8942
BraTS-GLI-01010-000_AUCseg_t2.nii.gz,0.7824,0.9246,0.922,0.8942
BraTS-GLI-00399-000_AUCseg_cc.nii.gz,0.5325,0.0156,0.8496,0.8714
BraTS-GLI-00399-000_AUCseg_t2.nii.gz,0.6731,0.7522,0.8496,0.8714
BraTS-GLI-01499-000_AUCseg_cc.nii.gz,0.2392,0.0057,0,0.3001
BraTS-GLI-01499-000_AUCseg_t2.nii.gz,0.1697,0.288,0,0.3005
BraTS-GLI-00165-000_AUCseg_cc.nii.gz,0.8904,0.8439,0.8346,0.9299
BraTS-GLI-00165-000_AUCseg_t2.nii.gz,0.803,0.5002,0.8346,0.9292
BraTS-GLI-01303-000_AUCseg_cc.nii.gz,0,0,0.529,0.3601
BraTS-GLI-01303-000_AUCseg_t2.nii.gz,0,0.8898,0.529,0.3601
BraTS-GLI-00640-000_AUCseg_cc.nii.gz,0,0,0,0
BraTS-GLI-00640-000_AUCseg_t2.nii.gz,0,0,0,0
BraTS-GLI-01422-000_AUCseg_cc.nii.gz,0.4515,0.0201,0.0355,0.4852
BraTS-GLI-01422-000_AUCseg_t2.nii.gz,0.3413,0.4281,0.0355,0.4867
BraTS-GLI-00818-000_AUCseg_cc.nii.gz,0.6703,0.0009,0.7929,0.8944
BraTS-GLI-00818-000_AUCseg_t2.nii.gz,0.7617,0.9256,0.7929,0.8944
BraTS-GLI-00586-000_AUCseg_cc.nii.gz,0.7664,0.0004,0.6992,0.728
BraTS-GLI-00586-000_AUCseg_t2.nii.gz,0.6418,0.1504,0.6992,0.728
BraTS-GLI-00293-000_AUCseg_cc.nii.gz,0.5382,0,0.0385,0.5402
BraTS-GLI-00293-000_AUCseg_t2.nii.gz,0.607,0.0016,0.0385,0.5402
BraTS-GLI-01490-000_AUCseg_cc.nii.gz,0.1058,0.0146,0.2577,0.6808
BraTS-GLI-01490-000_AUCseg_t2.nii.gz,0.0275,0.4087,0.2577,0.6808
BraTS-GLI-01105-000_AUCseg_cc.nii.gz,0.8816,0,0.8142,0.9345
BraTS-GLI-01105-000_AUCseg_t2.nii.gz,0.4906,0.2362,0.8142,0.9345
BraTS-GLI-01148-000_AUCseg_cc.nii.gz,0.9251,0.8118,0.8914,0.9381
BraTS-GLI-01148-000_AUCseg_t2.nii.gz,0.6306,0.038,0.8914,0.9364
BraTS-GLI-01324-000_AUCseg_cc.nii.gz,0.8684,0,0.4821,0.7926
BraTS-GLI-01324-000_AUCseg_t2.nii.gz,0.4243,0.0249,0.4821,0.7926
BraTS-GLI-00270-000_AUCseg_cc.nii.gz,0.0546,0,0.0006,0.2197
BraTS-GLI-00270-000_AUCseg_t2.nii.gz,0.0741,0,0.0006,0.2211
BraTS-GLI-00814-000_AUCseg_cc.nii.gz,0.849,0.0242,0.7893,0.9457
BraTS-GLI-00814-000_AUCseg_t2.nii.gz,0.6658,0.2075,0.7893,0.9457
BraTS-GLI-00730-001_AUCseg_cc.nii.gz,0.882,0,0.7991,0.9091
BraTS-GLI-00730-001_AUCseg_t2.nii.gz,0.5552,0.0416,0.7991,0.9091
