,LV,Myocardium,RV,whole,index
101,0.917192429022082,0.8619821469443809,0.932381280110117,1.0,101
102,0.9115710253998118,0.8845389203242086,0.8196097096620657,1.0,102
103,0.7710323574730354,0.8415349887133183,0.8973422600933252,1.0,103
104,0.7901656137954585,0.8521275276020345,0.5834835917778579,1.0,104
105,0.7600370027752081,0.8225947406053865,0.6867469879518072,1.0,105
106,0.7254321327732249,0.6185687950393832,0.9296131198062847,1.0,106
107,0.8409090909090909,0.7670837343599615,0.8658536585365854,1.0,107
108,0.8437555046679585,0.862807428475824,0.7222427148653633,1.0,108
109,0.9605753400918464,0.8605842447736398,0.9090609555189456,1.0,109
110,0.9236212786725232,0.8646315789473684,0.8178807947019867,1.0,110
111,0.783308195072901,0.8486005089058524,0.7455035971223022,1.0,111
112,0.9266092660926609,0.8552032931320863,0.890790061002827,1.0,112
113,0.9328527566413028,0.8265140677157845,0.9188756010356306,1.0,113
114,0.25854782942758353,0.8692303820405698,0.691172296338348,1.0,114
115,0.9215253703120075,0.8689544157459574,0.9070347284060553,1.0,115
116,0.8578962789334896,0.8825945575902789,0.8168490604996903,1.0,116
117,0.7147210501640882,0.7750333094188787,0.9311224489795918,1.0,117
118,0.8252223120452709,0.8066799782174623,0.8592271742847373,1.0,118
119,0.9490699471088132,0.8174610755564046,0.8674880563238622,1.0,119
120,0.8471953578336557,0.857957244655582,0.8682521706304266,1.0,120
121,0.947683976404603,0.8514543914148546,0.877487413090386,1.0,121
122,0.4425752183759301,0.7449459983384105,0.8885017421602788,1.0,122
123,0.9336340206185567,0.8567217601852827,0.7224334600760456,1.0,123
124,0.9148477266844965,0.8087774294670846,0.8303970549566132,1.0,124
125,0.9462031864266501,0.875731801612725,0.9031535136865696,1.0,125
126,0.8638403218319666,0.6643099547511312,0.8661317567567568,1.0,126
127,0.9353233830845771,0.8003720930232558,0.8935863064549392,1.0,127
128,0.9456468273487457,0.8592261326074275,0.8255894590846047,1.0,128
129,0.8699737320670843,0.7487871257839309,0.806292208861802,1.0,129
130,0.9433319130805283,0.8592623993217465,0.8516157888851615,1.0,130
131,0.9675369181880491,0.8564087924636026,0.9467948717948718,1.0,131
132,0.9358455309872314,0.8193280728870088,0.9390515248025828,1.0,132
133,0.9225437857075958,0.8369654759230135,0.9433582277418814,1.0,133
134,0.9097425006636581,0.8543689320388349,0.812972972972973,1.0,134
135,0.9453734671125975,0.8503008139672054,0.9129075480125056,1.0,135
136,0.8676241024039962,0.8220672389127325,0.916989247311828,1.0,136
137,0.8392384314714412,0.8734664849167308,0.8738576779026217,1.0,137
138,0.8253968253968254,0.8385759829968119,0.6824440619621343,1.0,138
139,0.9145041239187286,0.8389635946211873,0.8545034642032333,1.0,139
140,0.9366286438529785,0.7381603315989065,0.8409068982151471,1.0,140
141,0.8641386238071321,0.7501429388221841,0.744875708678587,1.0,141
142,0.7086658266834663,0.7897900241979549,0.7233273056057866,1.0,142
143,0.8517670157068062,0.8153710247349824,0.8917586539492016,1.0,143
144,0.8713938129996525,0.8269633507853403,0.8244873341375151,1.0,144
145,0.8011869436201781,0.8350757414124174,0.8331815882650481,1.0,145
146,0.9144471347861178,0.7706161137440758,0.4959349593495935,1.0,146
147,0.9442071542979178,0.8055574852379298,0.6920809589310277,1.0,147
148,0.7034093822096898,0.7634340890008396,0.8338368580060423,1.0,148
149,0.8891467144815948,0.8049654690095288,0.9108895937169612,1.0,149
150,0.7648134601316752,0.818076923076923,0.8067602040816326,1.0,150
